creation_date,el_model,yp,indices,label,matching,result_date
[2][C][readings/Sat-16-09-2023/2023-09-16T16-29-21],Magic,"[[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]]","[7, 9, 43, 48, 52]","[7, 17, 22, 24, 31, 59, 50]",[7],Sat-16-09-2023
[3][M][readings/Sat-16-09-2023/2023-09-16T17-39-19],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[28, 36, 38, 46, 47]","[7, 17, 22, 24, 31, 59, 50]",[],Sat-16-09-2023
[4][N][readings/Wed-20-09-2023/2023-09-17T15-26-43],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[15, 25, 35, 42, 58]","[9, 18, 34, 37, 42, 52, 50]",[42],Wed-20-09-2023
[5][C][readings/Wed-20-09-2023/2023-09-17T15-52-21],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]]","[9, 23, 24, 51, 58]","[9, 18, 34, 37, 42, 52, 50]",[9],Wed-20-09-2023
[6][A][readings/Wed-20-09-2023/2023-09-17T18-39-31],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
  0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[26, 28, 38, 42, 58]","[9, 18, 34, 37, 42, 52, 50]",[42],Wed-20-09-2023
[7][M][readings/Wed-27-09-2023/2023-09-26T13-36-10],Magic,"[[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
  0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[3, 5, 10, 32, 37]","[8, 10, 11, 20, 31, 44, 28]",[10],Wed-27-09-2023
[8][A][readings/Wed-27-09-2023/2023-09-23T14-52-01],Magic,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[3, 19, 20, 46, 57]","[8, 10, 11, 20, 31, 44, 28]",[20],Wed-27-09-2023
[9][A][readings/Sat-30-09-2023/2023-09-24T14-21-54],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0]]","[30, 40, 47, 53, 58]","[1, 8, 14, 20, 24, 40, 52]",[40],Sat-30-09-2023
[10][N_O][readings/Sat-30-09-2023/2023-09-24T15-16-29],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0]]","[6, 26, 46, 50, 51]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023
[11][C_O][readings/Sat-30-09-2023/2023-09-24T15-43-16],Magic,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[5, 24, 45, 52, 58]","[1, 8, 14, 20, 24, 40, 52]","[24, 52]",Sat-30-09-2023
